year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
2009,JB,16684.299,2079.019,5041.124,9564.156,39655937.000,1791713.000
2009,JJ,3352.343,560.849,1741.161,1050.333,12158772.000,545602.000
2009,CN,32115.474,2272.078,6977.565,22865.831,82604137.000,2040220.000
2009,CB,17591.646,1711.047,4949.515,10931.084,40008263.000,1517120.000
2010,GW,14848.000,1828.000,7060.000,5960.000,35452559.000,1488794.000
2010,GG,93075.000,14496.000,34249.000,44330.000,300716256.000,11618962.000
2010,GN,31549.000,3891.000,9149.000,18509.000,98297235.000,3217263.000
2010,GB,41589.000,3053.000,8791.000,29745.000,92044050.000,2630443.000
2010,GJ,7860.000,1737.000,3442.000,2681.000,30457831.000,1493632.000
2010,DG,14479.000,3057.000,5891.000,5531.000,44114977.000,2479781.000
2010,DJ,8867.000,1782.000,4648.000,2437.000,33247905.000,1515009.000
2010,PU,20264.000,4359.000,8771.000,7134.000,71968834.000,3476658.000
2010,SE,47294.000,13082.000,31863.000,2349.000,333249300.000,10088611.000
2010,SJ,,,,,,
2010,UL,26516.000,1385.000,2909.000,22222.000,66254235.000,1099035.000
2010,IC,21828.000,3322.000,6956.000,11550.000,69301148.000,2722990.000
2010,JN,25060.000,2132.000,5824.000,17104.000,67644440.000,1777282.000
2010,JB,18949.000,2205.000,5421.000,11323.000,41674930.000,1795819.000
2010,JJ,3575.000,603.000,1850.000,1122.000,12380394.000,547917.000
2010,CN,38808.000,2424.000,7535.000,28849.000,92056862.000,2077637.000
2010,CB,19440.000,1837.000,5416.000,12187.000,43503412.000,1524279.000
2011,GW,15876.000,1845.000,7137.000,6894.000,36296644.000,1497944.000
2011,GG,97003.000,14727.000,34614.000,47662.000,313748238.000,11825310.000
2011,GN,33071.000,3928.000,9240.000,19903.000,101258402.000,3244712.000
2011,GB,44167.000,3083.000,9245.000,31839.000,94466406.000,2644992.000
2011,GJ,8047.000,1744.000,3478.000,2825.000,31011787.000,1502051.000
2011,DG,14821.000,3028.000,5976.000,5817.000,45657599.000,2483116.000
2011,DJ,9060.000,1804.000,4696.000,2560.000,34446444.000,1528356.000
2011,PU,20561.000,4344.000,8678.000,7539.000,73792908.000,3476349.000
2011,SE,46903.000,12952.000,31683.000,2268.000,343756313.000,10072235.000
2011,SJ,,,,,,
2011,UL,28200.000,1387.000,3273.000,23540.000,71517190.000,1112079.000
2011,IC,22242.000,3390.000,7112.000,11740.000,70536942.000,2754739.000
2011,JN,27138.000,2151.000,5805.000,19182.000,66697766.000,1778593.000
2011,JB,21169.000,2231.000,5485.000,13453.000,43285951.000,1808733.000
2011,JJ,3710.000,613.000,1900.000,1197.000,13231976.000,553845.000
2011,CN,42650.000,2475.000,7382.000,32793.000,98515870.000,2108370.000
2011,CB,20453.000,1861.000,5598.000,12994.000,46066868.000,1545214.000
2012,GW,15904.000,1876.000,7216.000,6812.000,37021010.000,1504234.000
2012,GG,100291.000,15445.000,34952.000,49894.000,327820620.000,11974482.000
2012,GN,33015.000,4027.000,9351.000,19637.000,103911994.000,3265495.000
2012,GB,44800.000,3134.000,9653.000,32013.000,95229383.000,2655755.000
2012,GJ,8129.000,1760.000,3532.000,2837.000,31650181.000,1503758.000
2012,DG,14956.000,3051.000,6040.000,5865.000,47367831.000,2480493.000
2012,DJ,9160.000,1846.000,4770.000,2544.000,34977219.000,1540136.000
2012,PU,20665.000,4443.000,8617.000,7605.000,75742868.000,3461881.000
2012,SE,47233.000,13401.000,31740.000,2092.000,348568408.000,10036273.000
2012,SJ,,,,,,102157.000
2012,UL,29361.000,1415.000,3812.000,24134.000,71957705.000,1124659.000
2012,IC,22652.000,3594.000,7220.000,11838.000,73129842.000,2793754.000
